run_id,measurement_type,source,task,dataset,split,model,variant,recipe,checkpoint,teacher,training_stage,n_src,stems,sample_rate,n_fft,hop_length,chunk_frames,streaming_mode,mixture_consistency,silence_policy,params,gmac_per_s,state_fp16_kib,state_fp32_kib,onnx_nodes,onnx_forbidden_ops,onnx_risk_flags,mlir_ops,one_import,one_optimize,one_quantize,circle_verify,musdb_csdr_avg,musdb_usdr_avg,dnr_snr_avg,dnr_si_sdr_avg,sdr_avg,si_sdr_avg,latency_ms,rtf,streaming_offline_max_diff,listening_sheet,notes
paper_sfc_small_ca,paper,SFC paper table,musdb_four_stem,MUSDB18-HQ,test,SFC-Locoformer,small SFC-CA,,,,published,4,"vocals,drums,bass,other",44100,,,,offline,,,5800000,,,,,,,,,,,,9.27,8.95,,,,,,,,,Paper number; not local measurement
paper_sfc_dnr_small_ca,paper,SFC paper table,dnr_three_stem,DnR,test,SFC-Locoformer,small SFC-CA,,,,published,3,"speech,music,effects",44100,,,,offline,,,5800000,,,,,,,,,,,,,,11.78,11.38,,,,,,,Paper number; not local measurement
local_band_sfc_rt_plus_todo,local,ASS,dnr_three_stem,DnR,validation,BandSFCNet-RT+,rt_plus,recipes/dnr/models/band-sfc-net-npu.rt-plus.rt192k.fp512/config.yaml,,SFC-Locoformer-Lite+,student,3,"speech,music,effects",44100,2048,512,1,causal,,,,,,,444,none,activation_matmul_rank_le3=14;transpose=37,,PASS,PASS,PASS,PASS,,,,,,,,,,,Fill after training/eval/export;ONNX/ONE validated in logs/npu_verify_general/focused_onnx_one_20260530_*.
local_band_sfc_rt_plus_2mask_residual_sfx_todo,local,ASS,dnr_three_stem,DnR,validation,BandSFCNet-RT+,rt_plus_2mask_residual_sfx,recipes/dnr/models/band-sfc-net-npu.rt-plus.2mask-residual-sfx.rt192k.fp512/config.yaml,,SFC-Locoformer-Lite+,student_ablation,3,"speech,music,effects",44100,2048,512,1,causal,residual_sfx_wrapper,source_activity_penalty,,,,,444,none,activation_matmul_rank_le3=14;transpose=37,,PASS,PASS,PASS,PASS,,,,,,,,,,,core_n_src=2; wrapper reconstructs effects as mixture-speech-music;ONNX/ONE validated in logs/npu_verify_general/focused_onnx_one_20260530_2mask_residual_sfx; fill after training/eval
local_band_sfc_rt_plus_distill_todo,local,ASS,dnr_three_stem,DnR,validation,BandSFCNet-RT+,rt_plus_distill,recipes/dnr/models/band-sfc-net-npu.rt-plus.distill.rt192k.fp512/config.yaml,,SFC-Locoformer-Lite+,distilled_student,3,"speech,music,effects",44100,2048,512,1,causal,train_loss,source_activity_penalty,,,,,,,,,,,,,,,,,,,,,,,Requires teacher_checkpoint_path
local_edgefusion_sfc_distilled_todo,local,ASS,dnr_three_stem,DnR,validation,EdgeFusion-SFC-Distilled,large-v2-hybrid-5m,recipes/dnr/models/edge-fusion-sfc-distilled.rt192k/config.yaml,,SFC-Locoformer-Lite+ or BandSFCNet-RT+,distilled_student,3,"speech,music,effects",44100,2048,512,1,causal,train_loss,source_activity_penalty,,,,,168,none,transpose=2,,PASS,PASS,PASS,PASS,,,,,,,,,,,Strict NPU fallback; fill after BandSFC student is useful;ONNX/ONE validated in logs/npu_verify_general/focused_onnx_one_20260530_*.
local_dolphin_sfc_npu_slim6m_distill_todo,local,ASS,dnr_three_stem,DnR,validation,DolphinSFCNPU,slim_6m_distill,recipes/dnr/models/dolphin-sfc-npu.slim-6m.distill.rt192k.fp512keep475/config.yaml,,SFC-Locoformer-Lite+ or BandSFCNet-RT+,distilled_student,3,"speech,music,effects",44100,4096,1024,1,causal,train_loss,source_activity_penalty,,,,,314,none,activation_matmul_rank_le3=2;transpose=7,,PASS,PASS,PASS,PASS,,,,,,,,,,,Second deployable candidate; compare directly against BandSFC RT+;ONNX/ONE validated in logs/npu_verify_general/focused_onnx_one_20260530_*.
local_dolphin_sfc_npu_slim8m_distill_todo,local,ASS,dnr_three_stem,DnR,validation,DolphinSFCNPU,slim_8m_distill,recipes/dnr/models/dolphin-sfc-npu.slim-8m.distill.rt192k.fp512keep475/config.yaml,,SFC-Locoformer-Lite+ or BandSFCNet-RT+,distilled_student,3,"speech,music,effects",44100,4096,1024,1,causal,train_loss,source_activity_penalty,,,,,,,,,,,,,,,,,,,,,,,Larger DolphinSFCNPU quality probe; use after slim_6m
local_sparse_unet_mel_sfc_musdb_todo,local,ASS,musdb_four_stem,MUSDB18-HQ,validation,Sparse U-Net Mel-SFC,music_rt192k_fp512keep475,recipes/musdb18hq/models/sparse-unet-mel-sfc.music.rt192k.fp512keep475/config.yaml,,SFC-Locoformer-Lite+ or soft-band SFC,student,4,"vocals,drums,bass,other",44100,2048,512,1,causal,train_loss,source_activity_penalty,,,,,,,,,,,,,,,,,,,,,,,Music-first fallback; fill after training/eval/export
local_sparse_unet_mel_sfc_dnr_todo,local,ASS,dnr_three_stem,DnR,validation,Sparse U-Net Mel-SFC,rt192k_fp512keep475,recipes/dnr/models/sparse-unet-mel-sfc.rt192k.fp512keep475/config.yaml,,SFC-Locoformer-Lite+ or soft-band SFC,student,3,"speech,music,effects",44100,2048,512,1,causal,train_loss,source_activity_penalty,2123945,,140,280,576,none,activation_matmul_rank_le3=6;transpose=27,,PASS,PASS,PASS,PASS,,,,,,,,,,,Three-stem sibling; use after MUSDB probe is useful;ONNX/ONE validated in logs/npu_verify_general/focused_onnx_one_20260601_capacity_sparse_unet_no_max_simplified;trained metrics pending
